"date","usage","dollars","type"
"12:00AM 15th June 2025","0.00 kWh","$0.08","actual"
"01:00AM 15th June 2025","0.00 kWh","$0.08","actual"
"02:00AM 15th June 2025","0.00 kWh","$0.08","actual"
"03:00AM 15th June 2025","0.00 kWh","$0.08","actual"
"04:00AM 15th June 2025","0.00 kWh","$0.08","actual"
"05:00AM 15th June 2025","0.00 kWh","$0.08","actual"
"06:00AM 15th June 2025","0.00 kWh","$0.08","actual"
"07:00AM 15th June 2025","0.00 kWh","$0.08","actual"
"08:00AM 15th June 2025","2.96 kWh","$0.61","actual"
"09:00AM 15th June 2025","1.47 kWh","$0.34","actual"
"10:00AM 15th June 2025","0.00 kWh","$0.08","actual"
"11:00AM 15th June 2025","0.00 kWh","$0.08","actual"
"12:00PM 15th June 2025","5.61 kWh","$1.10","actual"
"01:00PM 15th June 2025","0.81 kWh","$0.22","actual"
"02:00PM 15th June 2025","0.00 kWh","$0.08","actual"
"03:00PM 15th June 2025","0.03 kWh","$0.08","actual"
"04:00PM 15th June 2025","0.00 kWh","$0.08","actual"
"05:00PM 15th June 2025","0.00 kWh","$0.08","actual"
"06:00PM 15th June 2025","0.83 kWh","$0.23","actual"
"07:00PM 15th June 2025","0.00 kWh","$0.08","actual"
"08:00PM 15th June 2025","0.00 kWh","$0.08","actual"
"09:00PM 15th June 2025","0.00 kWh","$0.08","actual"
"10:00PM 15th June 2025","0.00 kWh","$0.08","actual"
"11:00PM 15th June 2025","0.00 kWh","$0.08","actual"
