"date","usage","dollars","type"
"12:00AM 21st June 2025","0.00 kWh","$0.08","actual"
"01:00AM 21st June 2025","0.00 kWh","$0.08","actual"
"02:00AM 21st June 2025","0.00 kWh","$0.08","actual"
"03:00AM 21st June 2025","0.00 kWh","$0.08","actual"
"04:00AM 21st June 2025","0.00 kWh","$0.08","actual"
"05:00AM 21st June 2025","0.00 kWh","$0.08","actual"
"06:00AM 21st June 2025","0.89 kWh","$0.24","actual"
"07:00AM 21st June 2025","1.73 kWh","$0.39","actual"
"08:00AM 21st June 2025","3.83 kWh","$0.77","actual"
"09:00AM 21st June 2025","0.79 kWh","$0.22","actual"
"10:00AM 21st June 2025","0.00 kWh","$0.08","actual"
"11:00AM 21st June 2025","5.14 kWh","$1.01","actual"
"12:00PM 21st June 2025","1.90 kWh","$0.42","actual"
"01:00PM 21st June 2025","0.00 kWh","$0.08","actual"
"02:00PM 21st June 2025","0.00 kWh","$0.08","actual"
"03:00PM 21st June 2025","0.00 kWh","$0.08","actual"
"04:00PM 21st June 2025","0.00 kWh","$0.08","actual"
"05:00PM 21st June 2025","0.00 kWh","$0.08","actual"
"06:00PM 21st June 2025","0.00 kWh","$0.08","actual"
"07:00PM 21st June 2025","0.00 kWh","$0.08","actual"
"08:00PM 21st June 2025","0.00 kWh","$0.08","actual"
"09:00PM 21st June 2025","0.00 kWh","$0.08","actual"
"10:00PM 21st June 2025","0.00 kWh","$0.08","actual"
"11:00PM 21st June 2025","0.00 kWh","$0.08","actual"
