"date","usage","dollars","type"
"12:00AM 23rd June 2025","0.00 kWh","$0.08","actual"
"01:00AM 23rd June 2025","0.00 kWh","$0.08","actual"
"02:00AM 23rd June 2025","0.00 kWh","$0.08","actual"
"03:00AM 23rd June 2025","0.00 kWh","$0.08","actual"
"04:00AM 23rd June 2025","0.00 kWh","$0.08","actual"
"05:00AM 23rd June 2025","0.06 kWh","$0.09","actual"
"06:00AM 23rd June 2025","2.21 kWh","$0.48","actual"
"07:00AM 23rd June 2025","0.07 kWh","$0.09","actual"
"08:00AM 23rd June 2025","4.06 kWh","$0.81","actual"
"09:00AM 23rd June 2025","0.00 kWh","$0.08","actual"
"10:00AM 23rd June 2025","0.00 kWh","$0.08","actual"
"11:00AM 23rd June 2025","0.00 kWh","$0.08","actual"
"12:00PM 23rd June 2025","0.00 kWh","$0.08","actual"
"01:00PM 23rd June 2025","0.00 kWh","$0.08","actual"
"02:00PM 23rd June 2025","0.00 kWh","$0.08","actual"
"03:00PM 23rd June 2025","6.64 kWh","$1.29","actual"
"04:00PM 23rd June 2025","0.52 kWh","$0.17","actual"
"05:00PM 23rd June 2025","0.00 kWh","$0.08","actual"
"06:00PM 23rd June 2025","0.00 kWh","$0.08","actual"
"07:00PM 23rd June 2025","0.00 kWh","$0.08","actual"
"08:00PM 23rd June 2025","0.04 kWh","$0.08","actual"
"09:00PM 23rd June 2025","0.00 kWh","$0.08","actual"
"10:00PM 23rd June 2025","0.00 kWh","$0.08","actual"
"11:00PM 23rd June 2025","0.00 kWh","$0.08","actual"
