"date","usage","dollars","type"
"12:00AM 8th August 2025","0.00 kWh","$0.08","actual"
"01:00AM 8th August 2025","0.00 kWh","$0.08","actual"
"02:00AM 8th August 2025","0.00 kWh","$0.08","actual"
"03:00AM 8th August 2025","0.00 kWh","$0.08","actual"
"04:00AM 8th August 2025","0.00 kWh","$0.08","actual"
"05:00AM 8th August 2025","0.00 kWh","$0.08","actual"
"06:00AM 8th August 2025","4.59 kWh","$0.91","actual"
"07:00AM 8th August 2025","1.45 kWh","$0.34","actual"
"08:00AM 8th August 2025","0.00 kWh","$0.08","actual"
"09:00AM 8th August 2025","0.00 kWh","$0.08","actual"
"10:00AM 8th August 2025","5.73 kWh","$1.12","actual"
"11:00AM 8th August 2025","0.50 kWh","$0.17","actual"
"12:00PM 8th August 2025","0.77 kWh","$0.22","actual"
"01:00PM 8th August 2025","0.63 kWh","$0.19","actual"
"02:00PM 8th August 2025","0.25 kWh","$0.12","actual"
"03:00PM 8th August 2025","0.00 kWh","$0.08","actual"
"04:00PM 8th August 2025","0.00 kWh","$0.08","actual"
"05:00PM 8th August 2025","0.06 kWh","$0.09","actual"
"06:00PM 8th August 2025","0.00 kWh","$0.08","actual"
"07:00PM 8th August 2025","0.00 kWh","$0.08","actual"
"08:00PM 8th August 2025","0.00 kWh","$0.08","actual"
"09:00PM 8th August 2025","0.00 kWh","$0.08","actual"
"10:00PM 8th August 2025","0.00 kWh","$0.08","actual"
"11:00PM 8th August 2025","0.00 kWh","$0.08","actual"
