"date","usage","dollars","type"
"12:00AM 17th July 2025","0.33 kWh","$0.16","actual"
"01:00AM 17th July 2025","0.22 kWh","$0.12","actual"
"02:00AM 17th July 2025","0.32 kWh","$0.15","actual"
"03:00AM 17th July 2025","0.18 kWh","$0.11","actual"
"04:00AM 17th July 2025","0.41 kWh","$0.19","actual"
"05:00AM 17th July 2025","0.57 kWh","$0.24","actual"
"06:00AM 17th July 2025","0.25 kWh","$0.13","actual"
"07:00AM 17th July 2025","0.38 kWh","$0.18","actual"
"08:00AM 17th July 2025","0.15 kWh","$0.10","actual"
"09:00AM 17th July 2025","0.27 kWh","$0.14","actual"
"10:00AM 17th July 2025","0.29 kWh","$0.15","actual"
"11:00AM 17th July 2025","0.33 kWh","$0.16","actual"
"12:00PM 17th July 2025","1.15 kWh","$0.45","actual"
"01:00PM 17th July 2025","1.05 kWh","$0.41","actual"
"02:00PM 17th July 2025","0.29 kWh","$0.15","actual"
"03:00PM 17th July 2025","0.40 kWh","$0.18","actual"
"04:00PM 17th July 2025","0.19 kWh","$0.11","actual"
"05:00PM 17th July 2025","0.78 kWh","$0.32","actual"
"06:00PM 17th July 2025","0.24 kWh","$0.13","actual"
"07:00PM 17th July 2025","0.52 kWh","$0.23","actual"
"08:00PM 17th July 2025","0.30 kWh","$0.15","actual"
"09:00PM 17th July 2025","0.78 kWh","$0.32","actual"
"10:00PM 17th July 2025","0.49 kWh","$0.22","actual"
"11:00PM 17th July 2025","0.28 kWh","$0.14","actual"
