"date","usage","dollars","type"
"12:00AM 1st September 2025","0.36 kWh","$0.17","actual"
"01:00AM 1st September 2025","0.25 kWh","$0.13","actual"
"02:00AM 1st September 2025","0.23 kWh","$0.12","actual"
"03:00AM 1st September 2025","0.30 kWh","$0.15","actual"
"04:00AM 1st September 2025","0.35 kWh","$0.17","actual"
"05:00AM 1st September 2025","0.50 kWh","$0.22","actual"
"06:00AM 1st September 2025","0.82 kWh","$0.33","actual"
"07:00AM 1st September 2025","0.35 kWh","$0.17","actual"
"08:00AM 1st September 2025","0.74 kWh","$0.30","actual"
"09:00AM 1st September 2025","0.32 kWh","$0.16","actual"
"10:00AM 1st September 2025","0.16 kWh","$0.10","actual"
"11:00AM 1st September 2025","0.59 kWh","$0.25","actual"
"12:00PM 1st September 2025","0.26 kWh","$0.14","actual"
"01:00PM 1st September 2025","0.21 kWh","$0.12","actual"
"02:00PM 1st September 2025","0.18 kWh","$0.11","actual"
"03:00PM 1st September 2025","0.35 kWh","$0.17","actual"
"04:00PM 1st September 2025","0.22 kWh","$0.12","actual"
"05:00PM 1st September 2025","0.37 kWh","$0.17","actual"
"06:00PM 1st September 2025","0.58 kWh","$0.25","actual"
"07:00PM 1st September 2025","0.82 kWh","$0.33","actual"
"08:00PM 1st September 2025","0.51 kWh","$0.22","actual"
"09:00PM 1st September 2025","0.31 kWh","$0.15","actual"
"10:00PM 1st September 2025","0.29 kWh","$0.14","actual"
"11:00PM 1st September 2025","0.32 kWh","$0.15","actual"
