"date","usage","dollars","type"
"12:00AM 23rd July 2025","0.29 kWh","$0.14","actual"
"01:00AM 23rd July 2025","0.25 kWh","$0.13","actual"
"02:00AM 23rd July 2025","0.21 kWh","$0.12","actual"
"03:00AM 23rd July 2025","0.29 kWh","$0.15","actual"
"04:00AM 23rd July 2025","0.31 kWh","$0.15","actual"
"05:00AM 23rd July 2025","0.24 kWh","$0.13","actual"
"06:00AM 23rd July 2025","0.29 kWh","$0.14","actual"
"07:00AM 23rd July 2025","0.79 kWh","$0.32","actual"
"08:00AM 23rd July 2025","0.58 kWh","$0.25","actual"
"09:00AM 23rd July 2025","1.18 kWh","$0.46","actual"
"10:00AM 23rd July 2025","0.95 kWh","$0.38","actual"
"11:00AM 23rd July 2025","0.82 kWh","$0.33","actual"
"12:00PM 23rd July 2025","0.95 kWh","$0.38","actual"
"01:00PM 23rd July 2025","0.70 kWh","$0.29","actual"
"02:00PM 23rd July 2025","0.73 kWh","$0.30","actual"
"03:00PM 23rd July 2025","1.02 kWh","$0.40","actual"
"04:00PM 23rd July 2025","0.38 kWh","$0.18","actual"
"05:00PM 23rd July 2025","0.38 kWh","$0.18","actual"
"06:00PM 23rd July 2025","0.30 kWh","$0.15","actual"
"07:00PM 23rd July 2025","0.21 kWh","$0.12","actual"
"08:00PM 23rd July 2025","0.24 kWh","$0.13","actual"
"09:00PM 23rd July 2025","0.62 kWh","$0.26","actual"
"10:00PM 23rd July 2025","0.65 kWh","$0.27","actual"
"11:00PM 23rd July 2025","0.33 kWh","$0.16","actual"
