"date","usage","dollars","type"
"12:00AM 23rd June 2025","0.28 kWh","$0.14","actual"
"01:00AM 23rd June 2025","0.33 kWh","$0.16","actual"
"02:00AM 23rd June 2025","0.17 kWh","$0.10","actual"
"03:00AM 23rd June 2025","0.32 kWh","$0.16","actual"
"04:00AM 23rd June 2025","0.45 kWh","$0.20","actual"
"05:00AM 23rd June 2025","0.38 kWh","$0.18","actual"
"06:00AM 23rd June 2025","0.31 kWh","$0.15","actual"
"07:00AM 23rd June 2025","0.18 kWh","$0.11","actual"
"08:00AM 23rd June 2025","0.62 kWh","$0.26","actual"
"09:00AM 23rd June 2025","0.88 kWh","$0.35","actual"
"10:00AM 23rd June 2025","0.82 kWh","$0.33","actual"
"11:00AM 23rd June 2025","0.55 kWh","$0.23","actual"
"12:00PM 23rd June 2025","0.63 kWh","$0.27","actual"
"01:00PM 23rd June 2025","0.62 kWh","$0.26","actual"
"02:00PM 23rd June 2025","0.49 kWh","$0.21","actual"
"03:00PM 23rd June 2025","1.04 kWh","$0.41","actual"
"04:00PM 23rd June 2025","1.72 kWh","$0.65","actual"
"05:00PM 23rd June 2025","1.02 kWh","$0.40","actual"
"06:00PM 23rd June 2025","0.23 kWh","$0.12","actual"
"07:00PM 23rd June 2025","0.32 kWh","$0.15","actual"
"08:00PM 23rd June 2025","0.55 kWh","$0.24","actual"
"09:00PM 23rd June 2025","0.67 kWh","$0.28","actual"
"10:00PM 23rd June 2025","0.24 kWh","$0.13","actual"
"11:00PM 23rd June 2025","0.18 kWh","$0.11","actual"
