"date","usage","dollars","type"
"12:00AM 28th May 2025","0.45 kWh","$0.20","actual"
"01:00AM 28th May 2025","0.44 kWh","$0.20","actual"
"02:00AM 28th May 2025","0.43 kWh","$0.19","actual"
"03:00AM 28th May 2025","0.45 kWh","$0.20","actual"
"04:00AM 28th May 2025","0.45 kWh","$0.20","actual"
"05:00AM 28th May 2025","0.48 kWh","$0.21","actual"
"06:00AM 28th May 2025","0.34 kWh","$0.16","actual"
"07:00AM 28th May 2025","0.28 kWh","$0.14","actual"
"08:00AM 28th May 2025","0.32 kWh","$0.16","actual"
"09:00AM 28th May 2025","0.64 kWh","$0.27","actual"
"10:00AM 28th May 2025","0.97 kWh","$0.38","actual"
"11:00AM 28th May 2025","0.55 kWh","$0.24","actual"
"12:00PM 28th May 2025","1.05 kWh","$0.41","actual"
"01:00PM 28th May 2025","0.99 kWh","$0.39","actual"
"02:00PM 28th May 2025","0.61 kWh","$0.26","actual"
"03:00PM 28th May 2025","0.32 kWh","$0.15","actual"
"04:00PM 28th May 2025","0.30 kWh","$0.15","actual"
"05:00PM 28th May 2025","1.09 kWh","$0.42","actual"
"06:00PM 28th May 2025","0.38 kWh","$0.18","actual"
"07:00PM 28th May 2025","0.21 kWh","$0.12","actual"
"08:00PM 28th May 2025","0.24 kWh","$0.13","actual"
"09:00PM 28th May 2025","0.57 kWh","$0.24","actual"
"10:00PM 28th May 2025","0.76 kWh","$0.31","actual"
"11:00PM 28th May 2025","0.21 kWh","$0.12","actual"
