"date","usage","dollars","type"
"12:00AM 2nd June 2025","0.10 kWh","$0.08","actual"
"01:00AM 2nd June 2025","0.08 kWh","$0.07","actual"
"02:00AM 2nd June 2025","0.13 kWh","$0.09","actual"
"03:00AM 2nd June 2025","0.09 kWh","$0.07","actual"
"04:00AM 2nd June 2025","0.11 kWh","$0.08","actual"
"05:00AM 2nd June 2025","0.10 kWh","$0.08","actual"
"06:00AM 2nd June 2025","0.08 kWh","$0.07","actual"
"07:00AM 2nd June 2025","0.11 kWh","$0.08","actual"
"08:00AM 2nd June 2025","0.08 kWh","$0.07","actual"
"09:00AM 2nd June 2025","0.11 kWh","$0.08","actual"
"10:00AM 2nd June 2025","0.16 kWh","$0.10","actual"
"11:00AM 2nd June 2025","0.18 kWh","$0.11","actual"
"12:00PM 2nd June 2025","0.19 kWh","$0.11","actual"
"01:00PM 2nd June 2025","0.17 kWh","$0.10","actual"
"02:00PM 2nd June 2025","0.14 kWh","$0.09","actual"
"03:00PM 2nd June 2025","0.14 kWh","$0.09","actual"
"04:00PM 2nd June 2025","0.45 kWh","$0.20","actual"
"05:00PM 2nd June 2025","0.62 kWh","$0.26","actual"
"06:00PM 2nd June 2025","0.92 kWh","$0.37","actual"
"07:00PM 2nd June 2025","0.55 kWh","$0.24","actual"
"08:00PM 2nd June 2025","1.31 kWh","$0.50","actual"
"09:00PM 2nd June 2025","0.49 kWh","$0.22","actual"
"10:00PM 2nd June 2025","0.39 kWh","$0.18","actual"
"11:00PM 2nd June 2025","0.37 kWh","$0.17","actual"
