"date","usage","dollars","type"
"12:00AM 31st May 2025","0.30 kWh","$0.15","actual"
"01:00AM 31st May 2025","0.19 kWh","$0.11","actual"
"02:00AM 31st May 2025","0.29 kWh","$0.15","actual"
"03:00AM 31st May 2025","0.20 kWh","$0.11","actual"
"04:00AM 31st May 2025","0.23 kWh","$0.12","actual"
"05:00AM 31st May 2025","0.58 kWh","$0.25","actual"
"06:00AM 31st May 2025","0.20 kWh","$0.11","actual"
"07:00AM 31st May 2025","0.56 kWh","$0.24","actual"
"08:00AM 31st May 2025","0.52 kWh","$0.23","actual"
"09:00AM 31st May 2025","0.52 kWh","$0.22","actual"
"10:00AM 31st May 2025","0.26 kWh","$0.14","actual"
"11:00AM 31st May 2025","0.63 kWh","$0.26","actual"
"12:00PM 31st May 2025","0.15 kWh","$0.10","actual"
"01:00PM 31st May 2025","0.16 kWh","$0.10","actual"
"02:00PM 31st May 2025","0.17 kWh","$0.10","actual"
"03:00PM 31st May 2025","0.15 kWh","$0.10","actual"
"04:00PM 31st May 2025","0.25 kWh","$0.13","actual"
"05:00PM 31st May 2025","0.15 kWh","$0.09","actual"
"06:00PM 31st May 2025","0.12 kWh","$0.08","actual"
"07:00PM 31st May 2025","0.22 kWh","$0.12","actual"
"08:00PM 31st May 2025","0.13 kWh","$0.09","actual"
"09:00PM 31st May 2025","0.11 kWh","$0.08","actual"
"10:00PM 31st May 2025","0.26 kWh","$0.14","actual"
"11:00PM 31st May 2025","0.08 kWh","$0.07","actual"
