"date","usage","dollars","type"
"12:00AM 3rd August 2025","0.20 kWh","$0.11","actual"
"01:00AM 3rd August 2025","0.27 kWh","$0.14","actual"
"02:00AM 3rd August 2025","0.15 kWh","$0.10","actual"
"03:00AM 3rd August 2025","0.16 kWh","$0.10","actual"
"04:00AM 3rd August 2025","0.27 kWh","$0.14","actual"
"05:00AM 3rd August 2025","0.25 kWh","$0.13","actual"
"06:00AM 3rd August 2025","0.44 kWh","$0.20","actual"
"07:00AM 3rd August 2025","0.32 kWh","$0.16","actual"
"08:00AM 3rd August 2025","0.73 kWh","$0.30","actual"
"09:00AM 3rd August 2025","0.72 kWh","$0.30","actual"
"10:00AM 3rd August 2025","0.31 kWh","$0.15","actual"
"11:00AM 3rd August 2025","0.52 kWh","$0.22","actual"
"12:00PM 3rd August 2025","0.43 kWh","$0.19","actual"
"01:00PM 3rd August 2025","0.88 kWh","$0.35","actual"
"02:00PM 3rd August 2025","0.58 kWh","$0.25","actual"
"03:00PM 3rd August 2025","0.79 kWh","$0.32","actual"
"04:00PM 3rd August 2025","0.79 kWh","$0.32","actual"
"05:00PM 3rd August 2025","0.35 kWh","$0.17","actual"
"06:00PM 3rd August 2025","0.34 kWh","$0.16","actual"
"07:00PM 3rd August 2025","0.22 kWh","$0.12","actual"
"08:00PM 3rd August 2025","0.43 kWh","$0.19","actual"
"09:00PM 3rd August 2025","0.18 kWh","$0.11","actual"
"10:00PM 3rd August 2025","0.18 kWh","$0.11","actual"
"11:00PM 3rd August 2025","0.18 kWh","$0.11","actual"
