"date","usage","dollars","type"
"12:00AM 6th August 2025","0.12 kWh","$0.08","actual"
"01:00AM 6th August 2025","0.12 kWh","$0.08","actual"
"02:00AM 6th August 2025","0.12 kWh","$0.08","actual"
"03:00AM 6th August 2025","0.10 kWh","$0.08","actual"
"04:00AM 6th August 2025","0.11 kWh","$0.08","actual"
"05:00AM 6th August 2025","0.23 kWh","$0.12","actual"
"06:00AM 6th August 2025","0.31 kWh","$0.15","actual"
"07:00AM 6th August 2025","0.37 kWh","$0.17","actual"
"08:00AM 6th August 2025","0.14 kWh","$0.09","actual"
"09:00AM 6th August 2025","0.21 kWh","$0.12","actual"
"10:00AM 6th August 2025","0.34 kWh","$0.16","actual"
"11:00AM 6th August 2025","0.18 kWh","$0.11","actual"
"12:00PM 6th August 2025","0.14 kWh","$0.09","actual"
"01:00PM 6th August 2025","0.40 kWh","$0.18","actual"
"02:00PM 6th August 2025","0.11 kWh","$0.08","actual"
"03:00PM 6th August 2025","0.14 kWh","$0.09","actual"
"04:00PM 6th August 2025","0.22 kWh","$0.12","actual"
"05:00PM 6th August 2025","0.59 kWh","$0.25","actual"
"06:00PM 6th August 2025","0.37 kWh","$0.17","actual"
"07:00PM 6th August 2025","0.30 kWh","$0.15","actual"
"08:00PM 6th August 2025","0.67 kWh","$0.28","actual"
"09:00PM 6th August 2025","0.73 kWh","$0.30","actual"
"10:00PM 6th August 2025","0.17 kWh","$0.10","actual"
"11:00PM 6th August 2025","0.17 kWh","$0.10","actual"
