"date","usage","dollars","type"
"12:00AM 9th June 2025","0.20 kWh","$0.11","actual"
"01:00AM 9th June 2025","0.20 kWh","$0.11","actual"
"02:00AM 9th June 2025","0.16 kWh","$0.10","actual"
"03:00AM 9th June 2025","0.17 kWh","$0.10","actual"
"04:00AM 9th June 2025","0.32 kWh","$0.16","actual"
"05:00AM 9th June 2025","0.38 kWh","$0.18","actual"
"06:00AM 9th June 2025","0.43 kWh","$0.19","actual"
"07:00AM 9th June 2025","0.48 kWh","$0.21","actual"
"08:00AM 9th June 2025","0.16 kWh","$0.10","actual"
"09:00AM 9th June 2025","0.30 kWh","$0.15","actual"
"10:00AM 9th June 2025","0.21 kWh","$0.12","actual"
"11:00AM 9th June 2025","0.26 kWh","$0.13","actual"
"12:00PM 9th June 2025","0.24 kWh","$0.13","actual"
"01:00PM 9th June 2025","0.28 kWh","$0.14","actual"
"02:00PM 9th June 2025","0.19 kWh","$0.11","actual"
"03:00PM 9th June 2025","1.00 kWh","$0.40","actual"
"04:00PM 9th June 2025","1.51 kWh","$0.57","actual"
"05:00PM 9th June 2025","1.53 kWh","$0.58","actual"
"06:00PM 9th June 2025","0.38 kWh","$0.18","actual"
"07:00PM 9th June 2025","0.28 kWh","$0.14","actual"
"08:00PM 9th June 2025","0.56 kWh","$0.24","actual"
"09:00PM 9th June 2025","0.74 kWh","$0.30","actual"
"10:00PM 9th June 2025","0.22 kWh","$0.12","actual"
"11:00PM 9th June 2025","0.21 kWh","$0.12","actual"
